MTA CN Equity,METALLA ROYALTY & STREAMING,Venture,1010.56,120681.7
THX CN Equity,THOR EXPLORATION LTD,Venture,993.19,1455787.0
NUAG CN Equity,NEW PACIFIC METALS CORP,Toronto,940.01,542596.1
ITH CN Equity,INTL TOWER HILL MINES LTD,Toronto,924.21,218530.7
AMRQ CN Equity,AMAROQ LTD,Venture,894.84,1081745.0
FF CN Equity,FIRST MINING GOLD CORP,Toronto,860.0,11736840.0
MKO CN Equity,MAKO MINING CORP,Venture,858.78,368460.1
GQC CN Equity,GOLDQUEST MINING CORP,Venture,844.15,802668.4
TAU CN Equity,THESIS GOLD & SILVER INC,Venture,820.28,952278.8
FVL CN Equity,FREEGOLD VENTURES LTD,Toronto,799.83,1666337.0
DC US Equity,DAKOTA GOLD CORP,NYSEAmerican,770.97,1885469.0
HSTR CN Equity,HELIOSTAR METALS LTD,Venture,763.49,1397485.0
JAG CN Equity,JAGUAR MINING INC,Toronto,715.34,416254.1
GSKR CN Equity,GOLDSKY RESOURCES CORP,Venture,713.84,1434959.0
AUXX CN Equity,GOLD X2 MINING INC,Venture,707.98,4761830.0
TRX CN Equity,TRX GOLD CORP,Toronto,694.46,926812.4
RBTK US Equity,ZHEN DING RESOURCES INC,OTC US,693.55,50.9
LGD CN Equity,LIBERTY GOLD CORP,Toronto,678.41,3214453.0
RML CN Equity,RUSORO MINING LTD,Venture,664.35,1059516.0
GRZ CN Equity,GOLD RESERVE LTD,Venture,628.38,97328.97
IDR US Equity,IDAHO STRATEGIC RESOURCES IN,NYSEAmerican,609.19,493077.53
MAI CN Equity,MINERA ALAMOS INC,Venture,598.56,1337853.0
ETG CN Equity,ENTREE RESOURCES LTD,Toronto,588.17,254952.2
DV CN Equity,DOLLY VARDEN SILVER LTD,Venture,573.66,932132.4
CAMB CN Equity,CAMBRIA GOLD MINES INC,Venture,568.34,219793.3
CMCL US Equity,CALEDONIA MINING CORP PLC,NYSEAmerican,552.02,602275.19
BRC CN Equity,BLACKROCK SILVER CORP,Venture,538.57,3613160.0
VOXR CN Equity,VOX ROYALTY CORP,Toronto,529.83,50126.5
SLVR CN Equity,SILVER TIGER METALS INC,Venture,513.45,5622924.0
BSX CN Equity,BELO SUN MINING CORP,Toronto,503.74,1984162.0
STGO CN Equity,STEPPE GOLD LTD,Toronto,498.07,1140797.0
GGA CN Equity,GOLDGROUP MINING INC,Venture,490.31,707483.6
TUD CN Equity,TUDOR GOLD CORP-A,Venture,481.94,2714804.0
LUCA CN Equity,LUCA MINING CORP,Venture,478.65,986784.2
SVRS CN Equity,SILVER STORM MINING LTD,Venture,475.34,8759025.0
WRLG CN Equity,WEST RED LAKE GOLD MINES LTD,Venture,469.58,4963334.0
BYN CN Equity,BANYAN GOLD CORP,Venture,468.3,1838725.0
VGZ CN Equity,VISTA GOLD CORP,Toronto,462.31,400953.8
NEXG CN Equity,NEXGOLD MINING CORP,Venture,459.24,1631119.0
CTGO US Equity,CONTANGO ORE INC,NYSEAmerican,458.72,252579.77
GSVR CN Equity,GUANAJUATO SILVER CO LTD,Venture,451.33,11675320.0
GOLD CN Equity,GOLDMINING INC,Toronto,441.9,1752153.0
QTWO CN Equity,Q2 METALS CORP,Venture,420.71,604237.4
SM CN Equity,SIERRA MADRE GOLD AND SILVER,Venture,419.55,1897656.0
MMY CN Equity,MONUMENT MINING LTD,Venture,414.5,1171705.0
TSK CN Equity,TALISKER RESOURCES LTD,Toronto,389.58,1294399.0
FDR CN Equity,FOUNDERS METALS INC,Venture,388.44,516004.8
PTM CN Equity,PLATINUM GROUP METALS LTD,Toronto,382.74,1119746.0
PGDC CN Equity,PATAGONIA GOLD CORP,Venture,367.39,1954721.0
MFG CN Equity,MAYFAIR GOLD CORP,Venture,365.69,253214.2
WGO CN Equity,WHITE GOLD CORP,Venture,335.42,1456823.0
RDS CN Equity,RADISSON MINING RESOURCES,Venture,328.84,2314316.0
FISH CN Equity,SAILFISH ROYALTY CORP,Venture,327.89,71091.84
SIG CN Equity,SITKA GOLD CORP,Venture,327.24,2421651.0
AUMB CN Equity,1911 GOLD CORP,Venture,322.2,3571714.0
DBG CN Equity,DOUBLEVIEW GOLD CORP,Venture,315.17,687175.3
BCM CN Equity,BEAR CREEK MINING CORP,Venture,309.37,5840121.0
ELO CN Equity,ELORO RESOURCES LTD,Toronto,306.7,692417.9
AAG CN Equity,AFTERMATH SILVER LTD,Venture,304.01,2911668.0
CAPT CN Equity,CAPITAN SILVER CORP,Venture,286.61,380135.4
USAU US Equity,US GOLD CORP,NASDAQ CM,285.0,379001.81
SLG CN Equity,SAN LORENZO GOLD CORP/CANADA,Venture,273.26,543491.8
APGO CN Equity,APOLLO SILVER CORP,Venture,272.86,737739.8
DNG CN Equity,DYNACOR GROUP INC,Toronto,272.46,157689.2
SSV CN Equity,SOUTHERN SILVER EXPLORATION,Venture,268.06,4442085.0
PPX CN Equity,PPX MINING CORP,Venture,266.43,293528.0
NIM CN Equity,NICOLA MINING INC,Venture,265.93,340134.5
BGAU CN Equity,BLOSSOM GOLD INC,Toronto,265.87,
GORO US Equity,GOLD RESOURCE CORP,NYSEAmerican,265.3,10442395.0
STLR CN Equity,STLLR GOLD INC,Toronto,257.29,545659.0
CKG CN Equity,CHESAPEAKE GOLD CORP,Venture,256.65,365926.7
RVG CN Equity,REVIVAL GOLD INC,Venture,256.35,1000950.0
SOMA CN Equity,SOMA GOLD CORP,Venture,251.27,446929.9
GPH CN Equity,GRAPHITE ONE INC,Venture,248.79,958050.1
AGMR CN Equity,SILVER MOUNTAIN RESOURCES IN,Venture,245.38,673451.3
CERT CN Equity,CERRADO GOLD INC,Venture,241.89,1253400.0
MGG CN Equity,MINAURUM SILVER INC,Venture,241.21,3842512.0
GG CN Equity,GOLCONDA GOLD LTD,Venture,238.48,318908.9
BOGO CN Equity,BOREALIS MINING CO LTD,Venture,230.35,1060403.0
ORV CN Equity,ORVANA MINERALS CORP,Toronto,228.16,449597.9
VROY CN Equity,VIZSLA ROYALTIES CORP,Venture,224.76,495315.9
CBR CN Equity,CABRAL GOLD INC,Venture,216.6,748493.6
BHLL US Equity,BUNKER HILL MINING CORP,OTC US,213.64,2086508.5
SVE CN Equity,SILVER ONE RESOURCES INC,Venture,211.42,2094694.0
BIG CN Equity,HERCULES METALS CORP,Venture,208.38,1158139.0
AGAG CN Equity,ARGENTA SILVER CORP,Venture,207.44,3510629.0
BMM CN Equity,BLACK MAMMOTH METALS CORP,Venture,203.39,39991.23
GRSL CN Equity,GR SILVER MINING LTD,Venture,203.2,7858518.0
NCAU CN Equity,NEWCORE GOLD LTD,Venture,201.54,994371.1
SCOT CN Equity,SCOTTIE RESOURCES CORP,Venture,197.34,340833.1
NAMM US Equity,NAMIB MINERALS,NASDAQ GM,194.31,18638352.0
OCG CN Equity,OUTCROP SILVER & GOLD CORP,Toronto,192.72,3537727.0
EXN CN Equity,EXCELLON RESOURCES INC,Venture,185.91,4070403.0
PZG US Equity,PARAMOUNT GOLD NEVADA CORP,NYSEAmerican,183.55,2425403.0
FURY CN Equity,FURY GOLD MINES LTD,Toronto,178.04,878810.2
PPP CN Equity,PROSPECTOR METALS CORP,Venture,177.06,1035894.0
KTN CN Equity,KOOTENAY SILVER INC,Venture,172.83,1402885.0
MJS CN Equity,MAJESTIC GOLD CORP,Venture,172.04,3095218.0
OMI CN Equity,OROSUR MINING INC,Venture,171.63,1027947.0
KUYA CN Equity,KUYA SILVER CORP,Canadian Sec,169.68,2406279.0
AGA CN Equity,SILVER47 EXPLORATION CORP,Venture,163.4,3682173.0
MGM CN Equity,MAPLE GOLD MINES LTD,Venture,159.79,326749.6
LGC CN Equity,LAVRAS GOLD CORP,Venture,159.7,211961.8
HHH CN Equity,HELIUS MINERALS LTD,Venture,156.23,62141.57
LRA CN Equity,LARA EXPLORATION LTD,Venture,155.67,31382.0
VIPR CN Equity,SILVER VIPER MINERALS CORP,Venture,155.46,539993.0
ESM CN Equity,EURO SUN MINING INC,Toronto,154.04,1713118.0
RUA CN Equity,RUA GOLD INC,Toronto,154.0,321061.9
NAU CN Equity,NEVGOLD CORP,Venture,153.71,1895565.0
LIO CN Equity,LION ONE METALS LTD,Venture,149.06,1822757.0
GMX CN Equity,GLOBEX MINING ENTERPRISES,Toronto,146.5,146242.9
KTO CN Equity,K2 GOLD CORP,Venture,146.07,551013.6
USGO US Equity,US GOLDMINING INC,NASDAQ CM,144.61,121235.07
ONYX CN Equity,ONYX GOLD CORP,Venture,143.14,274128.6
AUMC US Equity,AURYN MINING CORP,OTC US,142.52,6456.97
XTG CN Equity,XTRA-GOLD RESOURCES CORP,Toronto,139.2,16791.8
AMQ CN Equity,ABITIBI METALS CORP,Canadian Sec,138.9,1434797.0
WPG CN Equity,WEST POINT GOLD CORP,Venture,137.54,663760.8
EDG CN Equity,ENDURANCE GOLD CORP,Venture,133.98,351188.2
YARR CN Equity,PIRATE GOLD CORP,Venture,132.93,1895707.0
GGO CN Equity,GALLEON GOLD CORP,Venture,132.06,928256.3
VEIN CN Equity,PASOFINO GOLD LTD,Venture,131.4,337078.5
NALG US Equity,NORTH AMERICA LITHIUM AND GO,OTC US,130.42,69688.6
EMO CN Equity,EMERITA RESOURCES CORP,Venture,130.26,1343848.0
FTCO US Equity,FORTITUDE GOLD CORP,OTC US,129.19,93208.5
GHRT CN Equity,GREENHEART GOLD INC,Venture,127.91,180254.1
PGE CN Equity,STILLWATER CRITICAL MINERALS,Venture,127.42,3049681.0
ECR CN Equity,CARTIER RESOURCES INC,Venture,126.96,893302.8
SGN CN Equity,SCORPIO GOLD CORP,Venture,120.29,1446879.0
CGNT CN Equity,COPPER GIANT RESOURCES CORP,Venture,117.76,3799937.0
TUO CN Equity,TEUTON RESOURCES,Venture,117.1,110090.3
IPT CN Equity,IMPACT SILVER CORP,Venture,115.92,5525493.0
AE CN Equity,AMERICAN EAGLE GOLD CORP,Venture,115.83,704551.6
EDCU CN Equity,EDGE COPPER CORP,Venture,114.83,187454.1
FMAN CN Equity,FREEMAN GOLD CORP,Venture,113.82,985464.5
WVM CN Equity,WEST VAULT MINING INC,Venture,113.67,35596.73
SANU CN Equity,SANU GOLD CORP,Canadian Sec,113.33,1403350.0
DEF CN Equity,DEFIANCE SILVER CORP,Venture,112.86,5932543.0
CCM CN Equity,CANAGOLD RESOURCES LTD,Toronto,110.56,180595.7
WM CN Equity,WALLBRIDGE MINING CO LTD,Toronto,109.81,3725972.0
AZS CN Equity,ARIZONA GOLD & SILVER INC,Venture,109.39,204467.3
TSG CN Equity,TRISTAR GOLD INC,Venture,109.14,365963.9
ADY CN Equity,ADYTON RESOURCES CORP,Venture,108.86,1525813.0
BSAI US Equity,BLUSKY AI INC,OTC US,106.22,1339.53
GAL CN Equity,GALANTAS GOLD CORP,Venture,,0.0
DMET CN Equity,DENARIUS METALS CORP,NEO-L Lit,105.15,507264.6
SPA CN Equity,SPANISH MOUNTAIN GOLD LTD,Venture,103.62,1545221.0
AUAU CN Equity,A2 GOLD CORP,Venture,102.74,373327.6
MSR CN Equity,MINSUD RESOURCES CORP,Venture,100.14,568.53
ESK CN Equity,ESKAY MINING CORP,Venture,97.01,573800.1
YGT CN Equity,GOLD TERRA RESOURCE CORP,Venture,96.11,1107482.0
ACRG US Equity,AMERICAN CLEAN RESOURCES GRO,OTC US,95.64,3440.4
ROCK CN Equity,TRIDENT RESOURCES CORP,Venture,94.42,504503.3
ROS CN Equity,ROSCAN GOLD CORP,Venture,92.09,709564.3
LG CN Equity,LAHONTAN GOLD CORP,Venture,91.65,2970087.0
ELR CN Equity,EASTERN PLATINUM LTD,Toronto,90.66,1043905.0
PRG CN Equity,PRECIPITATE GOLD CORP,Venture,90.31,1214044.0
BRAU CN Equity,BIG RIDGE GOLD CORP,Venture,89.58,600229.8
PSIL CN Equity,PACIFICA SILVER CORP,Canadian Sec,89.27,537073.8
ARIC CN Equity,AWALE RESOURCES LTD,Venture,88.52,386807.0
ONAU CN Equity,ONGOLD RESOURCES LTD,Venture,87.94,239380.8
RTG CN Equity,RTG MINING INC,Toronto,86.03,383077.2
ARK CN Equity,ARRAS MINERALS CORP,Venture,85.45,248551.3
SCD CN Equity,SCANDIUM CANADA LTD,Venture,85.22,6686930.0
NWST CN Equity,NORTHWEST COPPER CORP,Venture,84.96,773008.6
SAM CN Equity,STARCORE INTERNATIONAL MINES,Toronto,84.47,789059.9
BGL US Equity,BLUE GOLD LTD-CL A,NASDAQ GM,84.35,2274297.75
SOI CN Equity,SIRIOS RESOURCES INC,Venture,83.15,1789420.0
NKG CN Equity,NEVADA KING GOLD CORP,Venture,82.7,548552.9
MMG CN Equity,METALLIC MINERALS CORP,Venture,81.92,1109797.0
DRY CN Equity,DRYDEN GOLD CORP,Venture,81.56,1692059.0
SGO CN Equity,SONORO GOLD CORP,Venture,81.1,613607.3
EMPS CN Equity,EMP METALS CORP,Canadian Sec,78.1,135649.4
THMG US Equity,THUNDER MOUNTAIN GOLD INC,OTC US,77.16,46338.13
AMC CN Equity,ARIZONA METALS CORP,Toronto,75.16,800944.2
PEAK CN Equity,SUN PEAK METALS CORP,Venture,73.9,180239.9
GPG CN Equity,GRANDE PORTAGE,Venture,73.42,701508.9
DMX CN Equity,DISTRICT METALS CORP,Venture,72.08,2780336.0
AZM CN Equity,AZIMUT EXPLORATION INC,Venture,71.45,353543.6
BBB CN Equity,BRIXTON METALS CORP,Venture,71.32,383557.5
SCRI CN Equity,SILVER CROWN ROYALTIES INC,NEO-L Lit,70.62,45333.7
RPX CN Equity,RPX GOLD INC,Venture,70.59,1795282.0
LME CN Equity,LAURION MINERAL EXPLORATION,Venture,69.68,310961.2
GLB CN Equity,GOLDBANK MINING CORP,Venture,67.38,2607.57
WHN CN Equity,WESTHAVEN GOLD CORP,Venture,67.36,994985.7
ALTA CN Equity,ALTAMIRA GOLD CORP,Venture,66.71,401016.4
ASTR CN Equity,ASTRA EXPLORATION INC,Venture,65.45,380262.5
UGD CN Equity,UNIGOLD INC,Venture,64.66,295577.7
