ESM,CN,Equity,Toronto
RUA,CN,Equity,Toronto
NAU,CN,Equity,Venture
LIO,CN,Equity,Venture
GMX,CN,Equity,Toronto
KTO,CN,Equity,Venture
USGO,US,Equity,NASDAQ,CM
ONYX,CN,Equity,Venture
AUMC,US,Equity,OTC,US
XTG,CN,Equity,Toronto
AMQ,CN,Equity,Canadian,Sec
WPG,CN,Equity,Venture
EDG,CN,Equity,Venture
YARR,CN,Equity,Venture
GGO,CN,Equity,Venture
VEIN,CN,Equity,Venture
NALG,US,Equity,OTC,US
EMO,CN,Equity,Venture
FTCO,US,Equity,OTC,US
GHRT,CN,Equity,Venture
PGE,CN,Equity,Venture
ECR,CN,Equity,Venture
SGN,CN,Equity,Venture
CGNT,CN,Equity,Venture
TUO,CN,Equity,Venture
IPT,CN,Equity,Venture
AE,CN,Equity,Venture
EDCU,CN,Equity,Venture
FMAN,CN,Equity,Venture
WVM,CN,Equity,Venture
SANU,CN,Equity,Canadian,Sec
DEF,CN,Equity,Venture
CCM,CN,Equity,Toronto
WM,CN,Equity,Toronto
AZS,CN,Equity,Venture
TSG,CN,Equity,Venture
ADY,CN,Equity,Venture
BSAI,US,Equity,OTC,US
GAL,CN,Equity,Venture
DMET,CN,Equity,NEO-L,Lit
SPA,CN,Equity,Venture
AUAU,CN,Equity,Venture
MSR,CN,Equity,Venture
ESK,CN,Equity,Venture
YGT,CN,Equity,Venture
ACRG,US,Equity,OTC,US
ROCK,CN,Equity,Venture
ROS,CN,Equity,Venture
LG,CN,Equity,Venture
ELR,CN,Equity,Toronto
PRG,CN,Equity,Venture
BRAU,CN,Equity,Venture
PSIL,CN,Equity,Canadian,Sec
ARIC,CN,Equity,Venture
ONAU,CN,Equity,Venture
RTG,CN,Equity,Toronto
ARK,CN,Equity,Venture
SCD,CN,Equity,Venture
NWST,CN,Equity,Venture
SAM,CN,Equity,Toronto
BGL,US,Equity,NASDAQ,GM
SOI,CN,Equity,Venture
NKG,CN,Equity,Venture
MMG,CN,Equity,Venture
DRY,CN,Equity,Venture
SGO,CN,Equity,Venture
EMPS,CN,Equity,Canadian,Sec
THMG,US,Equity,OTC,US
AMC,CN,Equity,Toronto
PEAK,CN,Equity,Venture
GPG,CN,Equity,Venture
DMX,CN,Equity,Venture
AZM,CN,Equity,Venture
BBB,CN,Equity,Venture
SCRI,CN,Equity,NEO-L,Lit
RPX,CN,Equity,Venture
LME,CN,Equity,Venture
GLB,CN,Equity,Venture
WHN,CN,Equity,Venture
ALTA,CN,Equity,Venture
ASTR,CN,Equity,Venture
UGD,CN,Equity,Venture
AAN,CN,Equity,Venture
KFR,CN,Equity,Venture
RYR,CN,Equity,Venture
BRW,CN,Equity,Venture
QZM,CN,Equity,Venture
UG,CN,Equity,Canadian,Sec
IVS,CN,Equity,Venture
ESAU,CN,Equity,Canadian,Sec
RK,CN,Equity,Venture
MD,CN,Equity,Venture
MUN,CN,Equity,Venture
MSM,CN,Equity,Canadian,Sec
LVG,CN,Equity,Venture
FOR,CN,Equity,Venture
RGC,CN,Equity,Venture
ALEX,CN,Equity,Venture
GUN,CN,Equity,Venture
MMET,CN,Equity,Canadian,Sec
VRDR,US,Equity,OTC,US
VIO,CN,Equity,Venture
GLDC,CN,Equity,Venture
ELRE,US,Equity,OTC,US
FRG,CN,Equity,Canadian,Sec
A-H,CN,Equity,Venture
PAU,CN,Equity,Canadian,Sec
MRZ,CN,Equity,Venture
JUGR,CN,Equity,Venture
RYES,US,Equity,OTC,US
PX,CN,Equity,Venture
KNG,CN,Equity,Venture
HWG,CN,Equity,Canadian,Sec
YMC,CN,Equity,Canadian,Sec
EMNT,CN,Equity,Venture
TIG,CN,Equity,Venture
NVO,CN,Equity,Toronto
NPR,CN,Equity,Venture
KLDC,CN,Equity,Venture
CANX,CN,Equity,Venture
ROAR,CN,Equity,Venture
USGD,CN,Equity,Canadian,Sec
TK,CN,Equity,Venture
MLM,CN,Equity,Canadian,Sec
CAM,CN,Equity,Venture
GFG,CN,Equity,Venture
EOX,CN,Equity,Venture
PRNC,CN,Equity,Canadian,Sec
GRC,CN,Equity,Toronto
RSM,CN,Equity,Venture
MCI,CN,Equity,Venture
KG,CN,Equity,Venture
PNTR,CN,Equity,Venture
BHS,CN,Equity,Venture
RSG,CN,Equity,Canadian,Sec
BTR,CN,Equity,Venture
REVX,CN,Equity,Venture
AMM,CN,Equity,Venture
DAU,CN,Equity,Venture
QIM,CN,Equity,Canadian,Sec
BAU,CN,Equity,Venture
AUOZ,CN,Equity,Canadian,Sec
SBMI,CN,Equity,Venture
CDA,CN,Equity,Venture
PHNM,CN,Equity,Venture
GBU,CN,Equity,Venture
QGR,CN,Equity,Venture
WRR,CN,Equity,Venture
TWR,CN,Equity,Venture
PUMA,CN,Equity,Venture
KING,CN,Equity,Canadian,Sec
TNR,CN,Equity,Venture
VAU,CN,Equity,Venture
