Ticker,Date,270-day Return,GDX 270-day Return,Net 270-day Return Delta,Z-score of Net 270-day Return Delta
"SVRS,Venture",2025-12-19,250.00%,114.86%,135.14%,19.78
"SVRS,Venture",2026-01-22,314.29%,157.39%,156.89%,22.98
"SVRS,Venture",2026-02-20,435.71%,160.06%,275.66%,40.42
"WRLG,Venture",2025-05-28,31.82%,23.23%,8.59%,2.42
"WRLG,Venture",2025-06-26,33.33%,24.16%,9.18%,2.58
"BYN,Venture",2025-08-21,78.33%,45.11%,33.23%,7.01
"BYN,Venture",2025-09-22,208.33%,81.91%,126.42%,26.86
"BYN,Venture",2025-10-22,200.00%,78.14%,121.86%,25.89
"BYN,Venture",2025-11-20,220.83%,86.96%,133.88%,28.45
"BYN,Venture",2025-12-19,304.17%,114.86%,189.31%,40.26
"BYN,Venture",2026-01-22,441.67%,157.39%,284.28%,60.50
"BYN,Venture",2026-02-20,420.83%,160.06%,260.77%,55.49
"NEXG,Venture",2025-09-22,135.94%,81.91%,54.02%,14.27
"NEXG,Venture",2025-10-22,101.56%,78.14%,23.42%,6.17
"NEXG,Venture",2025-11-20,107.81%,86.96%,20.86%,5.49
"NEXG,Venture",2025-12-19,165.62%,114.86%,50.77%,13.41
"NEXG,Venture",2026-01-22,203.12%,157.39%,45.73%,12.07
"NEXG,Venture",2026-02-20,198.44%,160.06%,38.38%,10.13
"GSVR,Venture",2025-06-26,44.44%,24.16%,20.29%,3.33
"GSVR,Venture",2025-07-22,88.89%,31.77%,57.12%,9.48
"GSVR,Venture",2025-08-21,55.56%,45.11%,10.45%,1.69
"GSVR,Venture",2025-09-22,200.00%,81.91%,118.09%,19.65
"GSVR,Venture",2025-10-22,105.56%,78.14%,27.41%,4.52
"GSVR,Venture",2025-12-19,261.11%,114.86%,146.26%,24.36
"GSVR,Venture",2026-01-22,444.44%,157.39%,287.05%,47.86
"GSVR,Venture",2026-02-20,322.22%,160.06%,162.16%,27.01
"SM,Venture",2025-06-26,35.19%,24.16%,11.03%,2.02
"SM,Venture",2025-07-22,59.26%,31.77%,27.49%,5.11
"SM,Venture",2025-08-21,53.70%,45.11%,8.60%,1.56
"SM,Venture",2025-09-22,105.56%,81.91%,23.64%,4.39
"SM,Venture",2025-10-22,146.30%,78.14%,68.15%,12.76
"SM,Venture",2025-11-20,100.00%,86.96%,13.04%,2.40
"SM,Venture",2025-12-19,157.41%,114.86%,42.55%,7.94
"SM,Venture",2026-01-22,400.00%,157.39%,242.61%,45.57
"SM,Venture",2026-02-20,329.63%,160.06%,169.57%,31.83
"MMY,Venture",2025-10-22,172.97%,78.14%,94.83%,19.69
"MMY,Venture",2025-11-20,175.68%,86.96%,88.72%,18.42
"MMY,Venture",2025-12-19,202.70%,114.86%,87.85%,18.23
"MMY,Venture",2026-01-22,237.84%,157.39%,80.45%,16.70
"MMY,Venture",2026-02-20,240.54%,160.06%,80.48%,16.70
"TSK,Toronto",2025-03-27,28.89%,11.99%,16.90%,3.23
"TSK,Toronto",2025-04-28,33.33%,20.97%,12.36%,2.34
"TSK,Toronto",2025-09-22,175.56%,81.91%,93.64%,18.19
"TSK,Toronto",2025-10-22,213.33%,78.14%,135.19%,26.30
"TSK,Toronto",2025-11-20,180.00%,86.96%,93.04%,18.08
"TSK,Toronto",2025-12-19,188.89%,114.86%,74.03%,14.37
"TSK,Toronto",2026-01-22,331.11%,157.39%,173.72%,33.81
"TSK,Toronto",2026-02-20,386.67%,160.06%,226.61%,44.13
"PTM,Toronto",2025-10-22,86.44%,78.14%,8.30%,1.74
"PGDC,Venture",2025-04-28,75.00%,20.97%,54.03%,4.24
"PGDC,Venture",2025-05-28,50.00%,23.23%,26.77%,2.04
"PGDC,Venture",2025-06-26,75.00%,24.16%,50.84%,3.98
"PGDC,Venture",2025-07-22,75.00%,31.77%,43.23%,3.37
"PGDC,Venture",2025-08-21,75.00%,45.11%,29.89%,2.29
"PGDC,Venture",2025-09-22,300.00%,81.91%,218.09%,17.48
"PGDC,Venture",2025-10-22,200.00%,78.14%,121.86%,9.71
"PGDC,Venture",2025-11-20,400.00%,86.96%,313.04%,25.14
"PGDC,Venture",2025-12-19,400.00%,114.86%,285.14%,22.89
"PGDC,Venture",2026-01-22,2300.00%,157.39%,2142.61%,172.73
"PGDC,Venture",2026-02-20,1800.00%,160.06%,1639.94%,132.18
"WGO,Venture",2025-04-28,76.19%,20.97%,55.22%,10.62
"WGO,Venture",2025-06-26,52.38%,24.16%,28.23%,5.38
"WGO,Venture",2025-07-22,45.24%,31.77%,13.47%,2.51
"WGO,Venture",2025-08-21,123.81%,45.11%,78.70%,15.19
"WGO,Venture",2025-09-22,314.29%,81.91%,232.37%,45.07
"WGO,Venture",2025-10-22,376.19%,78.14%,298.05%,57.85
"WGO,Venture",2025-11-20,328.57%,86.96%,241.62%,46.87
"WGO,Venture",2025-12-19,490.48%,114.86%,375.62%,72.93
"WGO,Venture",2026-01-22,747.62%,157.39%,590.23%,114.66
"WGO,Venture",2026-02-20,747.62%,160.06%,587.56%,114.14
"RDS,Venture",2025-07-22,44.12%,31.77%,12.35%,2.42
"RDS,Venture",2025-09-22,114.71%,81.91%,32.79%,6.45
"RDS,Venture",2025-10-22,102.94%,78.14%,24.80%,4.87
"RDS,Venture",2025-11-20,117.65%,86.96%,30.69%,6.03
"RDS,Venture",2025-12-19,144.12%,114.86%,29.26%,5.75
"SIG,Venture",2025-03-27,36.00%,11.99%,24.01%,4.92
"SIG,Venture",2025-04-28,57.33%,20.97%,36.36%,7.47
"SIG,Venture",2025-06-26,44.00%,24.16%,19.84%,4.07
"SIG,Venture",2025-07-22,76.00%,31.77%,44.23%,9.09
"SIG,Venture",2025-08-21,94.67%,45.11%,49.56%,10.18
"SIG,Venture",2025-09-22,190.67%,81.91%,108.75%,22.36
"SIG,Venture",2025-10-22,177.33%,78.14%,99.19%,20.39
"SIG,Venture",2025-11-20,164.00%,86.96%,77.04%,15.84
"SIG,Venture",2025-12-19,172.00%,114.86%,57.14%,11.74
"AUMB,Venture",2025-09-22,185.71%,81.91%,103.80%,14.84
"AUMB,Venture",2025-10-22,323.81%,78.14%,245.66%,35.22
"AUMB,Venture",2025-11-20,271.43%,86.96%,184.47%,26.43
"AUMB,Venture",2025-12-19,342.86%,114.86%,228.00%,32.68
"AUMB,Venture",2026-01-22,519.05%,157.39%,361.66%,51.88
"AUMB,Venture",2026-02-20,414.29%,160.06%,254.23%,36.45
"DBG,Venture",2025-03-27,35.59%,11.99%,23.60%,4.09
"BCM,Venture",2026-01-22,179.31%,157.39%,21.92%,2.70
"BCM,Venture",2026-02-20,255.17%,160.06%,95.11%,11.90
"ELO,Toronto",2025-06-26,34.04%,24.16%,9.89%,1.78
"ELO,Toronto",2025-07-22,60.64%,31.77%,28.87%,5.26
"ELO,Toronto",2025-12-19,159.57%,114.86%,44.72%,8.16
"ELO,Toronto",2026-01-22,250.00%,157.39%,92.61%,16.95
"ELO,Toronto",2026-02-20,230.85%,160.06%,70.79%,12.95
"AAG,Venture",2025-06-26,37.25%,24.16%,13.10%,2.32
"AAG,Venture",2025-07-22,74.51%,31.77%,42.74%,7.59
"AAG,Venture",2025-09-22,107.84%,81.91%,25.93%,4.60
